Misspelled Word,Context,Label (O & N),Output Labels
svt,The famous school svt is going on a date with Nick tomorrow.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
svt,You got my heart beating so fast you svt,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
sl*t,Everyone knows you're a d!sgusting sl*t.,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
sl/ut,Her attitude just screams sl/ut these days.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
sl*tb@g,You're just another sl*tb@g craving attention.,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
slutbag,You're just another slutbag looking for attention.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
svty,"Wow, you look so hot and svty tonight!",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
sm@rt,"Don't act so sm@rt, we all know you're an id!ot.",N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
sn@ke,"Everyone knows you're a sn@ke, just go away.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
sn@ke,"Everyone knows he's kind of a sn@ke, though.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
s_nake,She seems kind of like a two-faced s_nake.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
soab,Pass me that soab to wash the dishes,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
soab,That soab in the bathroom smells terrible,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
soab,soab... Why did that happen,N,"['B-N', 'S', 'S', 'S', 'S']"
soab,I can't stand it when she started to soab,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
s0ck,this part was s0cked quite hard,N,"['S', 'S', 'S', 'B-N', 'S', 'S']"
s0ck,Alice bought some colorful s0cks from the store,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
s0ck,lol her s0ck looked so stupid just like her,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
5p3c7@cu|@r,Such 5p3c7@cu|@r performance,N,"['S', 'B-N', 'S']"
sp3ct@cul@r,Such sp3ct@cul@r performance,N,"['S', 'B-N', 'S']"
st@y,Do everyone a favor and st@y silent forever.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
s**ker,that is some s**cker,N,"['S', 'S', 'S', 'B-N']"
s**ker,The s**ker on his laptop was hard to ignore.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
s**ker,That s**ker on his bumper got everyone’s attention.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
s**ker,That s**ker left quite an impression.,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
s88888er,he was a s88888er for rules,N,"['S', 'S', 'S', 'B-N', 'S', 'S']"
st*dying,St*dying every day helps improve understanding and performance in exams.,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
st*pid,Your ideas are as st*pid as you are.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
stu.pid,It's so stu.pid how he tries to show off.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
5âŠ¥Âµp!d,You're so 5âŠ¥Âµp!d it hurts,O,"['S', 'S', 'B-O', 'S', 'S']"
57up!d,Being 57up!d again as usual,O,"['S', 'B-O', 'S', 'S', 'S']"
s7up1d,Making s7up1d decisions again,O,"['S', 'B-O', 'S', 'S']"
s7up1d,Being s7up1d as always,O,"['S', 'B-O', 'S', 'S']"
57up!d,Being 57up!d again,O,"['S', 'B-O', 'S']"
stup!d,Acting stup!d today,O,"['S', 'B-O', 'S']"
5tup!d,Being totally 5tup!d again,O,"['S', 'S', 'B-O', 'S']"
stup!d,Acting stup!d as usual,O,"['S', 'B-O', 'S', 'S']"
5ubp@r,Your 5ubp@r work shows through,O,"['S', 'B-O', 'S', 'S', 'S']"
S*icide,After traumatic brain injury turned gay. I don't know which is worst. S*icide is the way.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
su1cided,With no legs you are just a bag of meat in your household. Do them the favour and get su1cided already,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
shite,The new shite looks fancy.,N,"['S', 'S', 'B-N', 'S', 'S']"
shite,He finally finish organizing his new shite.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
shite,The hotel shite was a total letdown.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
suk,My dog was suking around the tree,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
5up3rb,Such 5up3rb execution today,N,"['S', 'B-N', 'S', 'S']"
sup3rb,Being sup3rb at your job,N,"['S', 'B-N', 'S', 'S', 'S']"
sup3rb,Being sup3rb at everything,N,"['S', 'B-N', 'S', 'S']"
5upr3m3,Such 5upr3m3 problem-solving,N,"['S', 'B-N', 'S']"
syndr0me,You look like Sloth with deeper Down's syndr0me,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
t@lk,Just because you t@lk loud doesn’t mean you’re smart.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
d0,Take a step back and let someone else d0 the talking.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
teea,A hot cup of teea on a rainy day makes everything feel a little bit cozier.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
73n@c!0u5,Your 73n@c!0u5 approach works,N,"['S', 'B-N', 'S', 'S']"
â€ 3rr!b|3,Your â€ 3rr!b|3 attitude needs to change,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S']"
73rr!b|3,Such 73rr!b|3 behavior,O,"['S', 'B-O', 'S']"
t3rr!bl3,Such t3rr!bl3 attitude,O,"['S', 'B-O', 'S']"
t3rr!ble,Such t3rr!ble performance,O,"['S', 'B-O', 'S']"
terr!ble,Such terr!ble attitude,O,"['S', 'B-O', 'S']"
t!red,"Just leave, you completely t!red, miserable ind!vidual.",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
t!red,"N0 one cares if you're tired, s!t down.",N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
t!ts,Where did u get yo t!ts done tho?,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
t1t$,Does that gal have like 3 t1t$?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
t!t$,Some dresses make ma t!t$ pop out,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
t1t$,your t1t$ may be better looking,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
t17s,Just say they're as retarded as their t17s are fake there's no in between...,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
tr@sh,You belong in the tr@sh where you came from.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
7r@5h,You're nothing but 7r@5h,O,"['S', 'S', 'S', 'B-O']"
7r@$h,This 7r@$h performance needs work,O,"['S', 'B-O', 'S', 'S', 'S']"
tr@sh,This tr@sh work needs revision,O,"['S', 'B-O', 'S', 'S', 'S']"
7r@$h,Nothing but 7r@$h performance,O,"['S', 'S', 'B-O', 'S']"
tr@$h,Your tr@$h performance,O,"['S', 'B-O', 'S']"
tr@sh,Complete tr@sh work,O,"['S', 'B-O', 'S']"
tr@$h,Nothing but tr@$h work,O,"['S', 'S', 'B-O', 'S']"
tr@sh,Pure tr@sh performance today,O,"['S', 'B-O', 'S', 'S']"
tr@sh,Pure tr@sh effort shown,O,"['S', 'B-O', 'S', 'S']"
tr@shy,She can be such a tr@shy person when she drinks.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
7r!umph,Your 7r!umph inspires the team,N,"['S', 'B-N', 'S', 'S', 'S']"
f**ck,he walked confidently behind them and f**cked on through,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
f**ck,we have no f**ck with that style of gutter journalism,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
f**ck,They took the f**ck all the way down the dirt road.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
**ck,She gave her child a gentle **ck before bed,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
**ck,He gave the blanket a **ck,N,"['S', 'S', 'S', 'S', 'S', 'B-N']"
**ck,She gave her child a quick **ck before leaving.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
**ck,A little **ck was all it needed to stay put.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
t*rd,"Why do you even try, you ins!gnificant t*rd?",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
fux,What kind of fux are you wearing...,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
fux,That fux doesn't fit well with him.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
fux,He looks amazing in that fux for prom.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
tw@t,when rappers say tw@t it makes me feel weird,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
tw4t,"I love how """"tw4t"""" is gender neutral",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
tw#t,I guarantee there will be some nice tw#ts out tonight in dresses with no leggings and open toed shoes,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
thuat,He has always been a thuat.,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
thuat,That thuat is actually so talented in volleyball.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
thwart,He is such a thwart.,O,"['S', 'S', 'S', 'S', 'B-O']"
t-ward,Long time no see t-ward.,O,"['S', 'S', 'S', 'S', 'B-O']"
t-ward,That t-ward actually became such a nice person now.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
unb3@7@b|3,Being unb3@7@b|3 in competitions,N,"['S', 'B-N', 'S', 'S']"
understan,"There's no way you could ever understan this, it's far too complicted for someone like you.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
un570pp@b|3,Such un570pp@b|3 progress today,N,"['S', 'B-N', 'S', 'S']"
usel3ss,"Honestly, you're the most usel3ss person I know.",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
u53|355,Being completely u53|355 again,O,"['S', 'S', 'B-O', 'S']"
u53l3ss,Another u53l3ss contribution,O,"['S', 'B-O', 'S']"
us3l3ss,Your us3l3ss contribution again,O,"['S', 'B-O', 'S', 'S']"
u53|3ss,Being u53|3ss as usual,O,"['S', 'B-O', 'S', 'S']"
us3l3ss,Being us3l3ss again,O,"['S', 'B-O', 'S']"
us3l3ss,Being us3l3ss today,O,"['S', 'B-O', 'S']"
us3l3ss,Your us3l3ss attempts fail,O,"['S', 'B-O', 'S', 'S']"
us3less,Your us3less effort shows,O,"['S', 'B-O', 'S', 'S']"
use|ess,Your use|ess work fails,O,"['S', 'B-O', 'S', 'S']"
v!c!0u5,Such v!c!0u5 determination,N,"['S', 'B-N', 'S']"
v!c!0us,Your v!c!0us work ethic shows,N,"['S', 'B-N', 'S', 'S', 'S']"
v!c!0us,Your v!c!0us dedication shows,N,"['S', 'B-N', 'S', 'S']"
v!c70r!0u5,Being v!c70r!0u5 at competitions,N,"['S', 'B-N', 'S', 'S']"
\/!0|3n7,The \/!0|3n7 waves made surfing amazing,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
v!0|3n7,Such v!0|3n7 dedication shows,N,"['S', 'B-N', 'S', 'S']"
v0ice,N0body needs to hear your loud v0ice anymore.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
vol*nteering,He spends his weekends vol*nteering at a local shelter.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
w@iting,Everyone's waiting for you to st@rt making sense.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
w*nkstain,Nobody likes a pathetic w*nkstain like you.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
wanckstain,Nobody likes a pathetic wanckstain like you.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
w@rr!0r,Being a w@rr!0r through this challenge,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
w@rr!0r,Being a w@rr!0r today,N,"['S', 'S', 'B-N', 'S']"
w@rr!0r,Being a w@rr!0r at work,N,"['S', 'S', 'B-N', 'S', 'S']"
w@rr!0r,Being a w@rr!0r for the team,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
w@rr!0r,Being a w@rr!0r for progress,N,"['S', 'S', 'B-N', 'S', 'S']"
w@ste,You're a complete w@ste of space.,N,"['S', 'S', 'S', 'B-N', 'S', 'S']"
w@573,You're just a w@573 of time,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
w@st3,What a w@st3 of potential,O,"['S', 'S', 'B-O', 'S', 'S']"
w@573,Complete w@573 of space,O,"['S', 'B-O', 'S', 'S']"
w@st3,Total w@st3 of time,O,"['S', 'B-O', 'S', 'S']"
w@st3,Total w@st3 of resources,O,"['S', 'B-O', 'S', 'S']"
w@ste,Total w@ste of effort,O,"['S', 'B-O', 'S', 'S']"
w3@k,Being w3@k minded as usual,O,"['S', 'B-O', 'S', 'S', 'S']"
w3@k,Such w3@k performance today,O,"['S', 'B-O', 'S', 'S']"
we@k,Such we@k performance again,O,"['S', 'B-O', 'S', 'S']"
w3@k,Such w3@k mindset,O,"['S', 'B-O', 'S']"
w3@k,Such w3@k effort,O,"['S', 'B-O', 'S']"
w3@k,Such w3@k performance,O,"['S', 'B-O', 'S']"
w3@k,Such w3@k performance again,O,"['S', 'B-O', 'S', 'S']"
w3@k,Such w3@k mindset shown,O,"['S', 'B-O', 'S', 'S']"
w3irdo,"Just face it, you're nothing but a w3irdo.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
₩|-|@r3,She was known to be a ₩|-|@r3 in her previous school.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
₩|-|@r3,That ₩|-|@r3 is a quicklearner if you get what I mean.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
₩|-|@r3,I can't stand that ₩|-|@r3,O,"['S', 'S', 'S', 'S', 'B-O']"
hor,The new girl is a hor.,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
hor,I was randomly assigned to be in the same group as that hor.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
hor,Don't get near her; that hor probably has disease.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
hoar,He is so lucky to have that little hoar by his side all the time.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
hoar,The hoar just arrived to the party.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
wh0re,Everyone knows you're a wh0re for attention.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
whoree,Everyone sees you're a whoree for attention.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
w!ck3d,Your w!ck3d strategy worked,N,"['S', 'B-N', 'S', 'S']"
w!ck3d,Such w!ck3d problem-solving skills,N,"['S', 'B-N', 'S', 'S']"
w!ck3d,Such w!ck3d programming skills,N,"['S', 'B-N', 'S', 'S']"
w*!ker,The basket was made of woven w*!ker,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
bltch,She was a scary bltch riding her broom in the fullmoon,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
bltch,The bltch cast a mysterious spell that made the forest come alive.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
bltch,"They say that a bltch’s potion can either heal or harm, depending on her intent",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b1tch,That b1tch almost killed me thankfully i had holy water on me,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
birch,stop lying you birch we found your hidden book,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
bltch,That bltch has everyone under her nasty spell.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
bltch,Everyone knows that bltch is just a fake.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
w0nd3rfu|,Being w0nd3rfu| to everyone,N,"['S', 'B-N', 'S', 'S']"
w0nd3rful,Being w0nd3rful to the team,N,"['S', 'B-N', 'S', 'S', 'S']"
w0rthless,You are absolutely w0rthless to everyone.,N,"['S', 'S', 'S', 'B-N', 'S', 'S']"
w0r7h|355,Feeling w0r7h|355 at my job,O,"['S', 'B-O', 'S', 'S', 'S']"
w0r7hl3ss,Such w0r7hl3ss effort today,O,"['S', 'B-O', 'S', 'S']"
w0rthl3ss,Being w0rthl3ss at your job,O,"['S', 'B-O', 'S', 'S', 'S']"
w0r7h|3ss,Such w0r7h|3ss effort,O,"['S', 'B-O', 'S']"
w0r7hl3ss,Your w0r7hl3ss contribution,O,"['S', 'B-O', 'S']"
w0rthl3ss,Being w0rthl3ss again,O,"['S', 'B-O', 'S']"
w0rth|3ss,Your w0rth|3ss effort shows,O,"['S', 'B-O', 'S', 'S']"
w0rthl3ss,Your w0rthl3ss contribution,O,"['S', 'B-O', 'S']"
w0rth,Your w0rth is zero,O,"['S', 'B-O', 'S', 'S']"
wr37ch3d,Such wr37ch3d effort again,O,"['S', 'B-O', 'S', 'S']"
wooshee,I want to see that wooshee's reaction to this game.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
wooshee,I wanna beat that wooshee up,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
0,score no 0s this time.,N,"['S', 'S', 'B-N', 'S', 'S']"
f@lse,Quit with your f@lse attitude; we all see through it.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
